Apple Inc                ,AAPL ,6.67
Advanced Micro Devices   ,AMD  ,6.67
Amazon.com Inc           ,AMZN ,6.67
Salesforce Inc           ,CRM  ,6.67
Facebook Inc             ,META ,6.67
Alphabet Inc A           ,GOOGL,6.67
Intel Corporation        ,INTC ,6.67
Microsoft Corporation    ,MSFT ,6.67
Micron Technology Inc    ,MU   ,6.67
Netflix Inc              ,NFLX ,6.67
NVIDIA                   ,NVDA ,6.67
Paypal Holdings          ,PYPL ,6.67
Square Inc.              ,SQ   ,6.67
TESLA                    ,TSLA ,6.67
Zoom Video Communications,ZM   ,6.67